epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,338.401,0.90748,1.36095,0.53091,0.88616,0,0.97251,0.90022,0.9281,0.6981,0.96995,0.8872,0.91837,0.54398,0.87658,1.42795,0.52586,0.86398,0,0.004852,0.004852,0.004852
80,342.109,0.99999,1.52662,0.55298,0.90781,0,0.96952,0.9013,0.93612,0.6692,0.96244,0.87744,0.91349,0.46565,0.98997,1.44972,0.55703,0.88147,0,0.004786,0.004786,0.004786
81,347.058,0.93419,1.45849,0.5361,0.89903,0,0.96952,0.9013,0.93612,0.6692,0.96244,0.87744,0.91349,0.46565,0.98997,1.44972,0.55703,0.88147,0,0.00472,0.00472,0.00472
82,350.953,0.91713,1.43427,0.52824,0.88289,0,0.96952,0.9013,0.92918,0.70589,0.97635,0.88612,0.92724,0.541,0.85679,1.37863,0.513,0.85927,0,0.004654,0.004654,0.004654
83,354.667,1.07596,1.66596,0.57381,0.88574,0,0.96952,0.9013,0.92918,0.70589,0.97635,0.88612,0.92724,0.541,0.85679,1.37863,0.513,0.85927,0,0.004588,0.004588,0.004588
84,358.91,0.93323,1.52352,0.53561,0.89135,0,0.96204,0.90672,0.93722,0.67092,0.95763,0.87852,0.91438,0.46944,0.94973,1.41465,0.53881,0.87253,0,0.004522,0.004522,0.004522
85,363.613,0.87334,1.41093,0.5296,0.88389,0,0.96204,0.90672,0.93722,0.67092,0.95763,0.87852,0.91438,0.46944,0.94973,1.41465,0.53881,0.87253,0,0.004456,0.004456,0.004456
86,367.218,0.94051,1.55218,0.53012,0.89458,0,0.96713,0.90347,0.93699,0.70941,0.95625,0.90077,0.91884,0.54896,0.84439,1.36087,0.50548,0.85644,0,0.00439,0.00439,0.00439
87,370.943,0.95838,1.481,0.53202,0.88768,0,0.96713,0.90347,0.93699,0.70941,0.95625,0.90077,0.91884,0.54896,0.84439,1.36087,0.50548,0.85644,0,0.004324,0.004324,0.004324
88,375.723,0.95093,1.53847,0.52972,0.88157,0,0.96304,0.90672,0.93676,0.67906,0.94872,0.88291,0.91547,0.47198,0.93889,1.41626,0.53917,0.87102,0,0.004258,0.004258,0.004258
89,379.929,1.00771,1.55467,0.55021,0.87993,0,0.96304,0.90672,0.93676,0.67906,0.94872,0.88291,0.91547,0.47198,0.93889,1.41626,0.53917,0.87102,0,0.004192,0.004192,0.004192
90,383.543,0.87821,1.38694,0.51486,0.88032,0,0.97013,0.91106,0.93953,0.70299,0.96155,0.90347,0.92117,0.54668,0.85505,1.33862,0.5112,0.85632,0,0.004126,0.004126,0.004126
91,387.272,0.91589,1.45608,0.52372,0.88486,0,0.97013,0.91106,0.93953,0.70299,0.96155,0.90347,0.92117,0.54668,0.85505,1.33862,0.5112,0.85632,0,0.00406,0.00406,0.00406
92,392.633,0.87388,1.39409,0.51942,0.88174,0,0.96895,0.91388,0.93828,0.69259,0.95576,0.8905,0.91902,0.49177,0.90214,1.38867,0.53121,0.8644,0,0.003994,0.003994,0.003994
93,396.381,0.87216,1.37747,0.52163,0.88067,0,0.96895,0.91388,0.93828,0.69259,0.95576,0.8905,0.91902,0.49177,0.90214,1.38867,0.53121,0.8644,0,0.003928,0.003928,0.003928
94,400.102,0.8953,1.39807,0.53276,0.87049,0,0.97307,0.91215,0.93907,0.71381,0.96712,0.89696,0.92895,0.53565,0.84418,1.32036,0.51137,0.8583,0,0.003862,0.003862,0.003862
95,404.588,0.95017,1.43398,0.53787,0.8836,0,0.97307,0.91215,0.93907,0.71381,0.96712,0.89696,0.92895,0.53565,0.84418,1.32036,0.51137,0.8583,0,0.003796,0.003796,0.003796
96,408.789,0.91948,1.43015,0.5272,0.88528,0,0.96508,0.91757,0.93908,0.69303,0.95255,0.89268,0.92605,0.49465,0.89533,1.36328,0.52507,0.86461,0,0.00373,0.00373,0.00373
97,412.569,0.9754,1.5521,0.54154,0.88669,0,0.96508,0.91757,0.93908,0.69303,0.95255,0.89268,0.92605,0.49465,0.89533,1.36328,0.52507,0.86461,0,0.003664,0.003664,0.003664
98,416.1,0.88915,1.4111,0.51539,0.8688,0,0.97366,0.90998,0.93955,0.71524,0.95873,0.90701,0.92926,0.53758,0.83133,1.30911,0.49569,0.85627,0,0.003598,0.003598,0.003598
99,421.333,0.81196,1.27794,0.5122,0.88624,0,0.97366,0.90998,0.93955,0.71524,0.95873,0.90701,0.92926,0.53758,0.83133,1.30911,0.49569,0.85627,0,0.003532,0.003532,0.003532
100,424.963,0.95912,1.53985,0.5343,0.88636,0,0.96979,0.91432,0.93944,0.71068,0.96181,0.90141,0.92745,0.50804,0.85021,1.34069,0.50727,0.85847,0,0.003466,0.003466,0.003466
101,428.618,0.81743,1.32861,0.4993,0.87198,0,0.96979,0.91432,0.93944,0.71068,0.96181,0.90141,0.92745,0.50804,0.85021,1.34069,0.50727,0.85847,0,0.0034,0.0034,0.0034
102,432.706,0.90958,1.49958,0.51655,0.88109,0,0.96785,0.91435,0.93931,0.7163,0.95752,0.90459,0.92842,0.51382,0.82563,1.31384,0.48615,0.8589,0,0.003334,0.003334,0.003334
103,437.364,0.80791,1.34651,0.49049,0.87497,0,0.96785,0.91435,0.93931,0.7163,0.95752,0.90459,0.92842,0.51382,0.82563,1.31384,0.48615,0.8589,0,0.003268,0.003268,0.003268
104,441.197,0.86997,1.36383,0.51403,0.88379,0,0.97151,0.90781,0.93953,0.71987,0.96593,0.89184,0.92895,0.52421,0.83247,1.30734,0.49459,0.8552,0,0.003202,0.003202,0.003202
105,444.844,0.91067,1.46181,0.51561,0.87768,0,0.97151,0.90781,0.93953,0.71987,0.96593,0.89184,0.92895,0.52421,0.83247,1.30734,0.49459,0.8552,0,0.003136,0.003136,0.003136
106,449.738,0.88539,1.40156,0.51427,0.87982,0,0.97,0.91432,0.93945,0.72716,0.95673,0.90347,0.92801,0.52288,0.80712,1.28679,0.4775,0.85556,0,0.00307,0.00307,0.00307
107,453.626,0.89606,1.45439,0.50359,0.87217,0,0.97,0.91432,0.93945,0.72716,0.95673,0.90347,0.92801,0.52288,0.80712,1.28679,0.4775,0.85556,0,0.003004,0.003004,0.003004
108,457.496,0.82872,1.3809,0.48082,0.86721,0,0.96817,0.91432,0.93963,0.72115,0.95419,0.9036,0.92911,0.51461,0.82288,1.31053,0.48422,0.85392,0,0.002938,0.002938,0.002938
109,461.392,0.85957,1.37138,0.49395,0.87226,0,0.96817,0.91432,0.93963,0.72115,0.95419,0.9036,0.92911,0.51461,0.82288,1.31053,0.48422,0.85392,0,0.002872,0.002872,0.002872
110,466.212,0.81774,1.3041,0.48175,0.87717,0,0.9682,0.91323,0.93904,0.72626,0.959,0.90456,0.92136,0.53133,0.80442,1.27831,0.47522,0.85383,0,0.002806,0.002806,0.002806
111,469.925,0.81814,1.33264,0.48541,0.87549,0,0.9682,0.91323,0.93904,0.72626,0.959,0.90456,0.92136,0.53133,0.80442,1.27831,0.47522,0.85383,0,0.00274,0.00274,0.00274
112,473.662,0.85674,1.37867,0.48684,0.87183,0,0.97211,0.90716,0.93917,0.73425,0.95523,0.90243,0.92101,0.52294,0.78983,1.28091,0.47218,0.85016,0,0.002674,0.002674,0.002674
113,478.269,0.90491,1.48218,0.49757,0.8623,0,0.97211,0.90716,0.93917,0.73425,0.95523,0.90243,0.92101,0.52294,0.78983,1.28091,0.47218,0.85016,0,0.002608,0.002608,0.002608
114,482.343,0.79803,1.32221,0.48848,0.87802,0,0.97011,0.91523,0.93986,0.72596,0.95336,0.909,0.92854,0.51917,0.81519,1.27974,0.48249,0.85544,0,0.002542,0.002542,0.002542
115,485.988,0.87365,1.45031,0.4943,0.85755,0,0.97011,0.91523,0.93986,0.72596,0.95336,0.909,0.92854,0.51917,0.81519,1.27974,0.48249,0.85544,0,0.002476,0.002476,0.002476
116,489.525,0.89456,1.46156,0.50952,0.87677,0,0.96899,0.92299,0.9408,0.7382,0.95904,0.91428,0.92817,0.5345,0.76979,1.27562,0.47401,0.84765,0,0.00241,0.00241,0.00241
117,494.837,0.79332,1.30788,0.48052,0.86172,0,0.96899,0.92299,0.9408,0.7382,0.95904,0.91428,0.92817,0.5345,0.76979,1.27562,0.47401,0.84765,0,0.002344,0.002344,0.002344
118,498.527,0.7915,1.32743,0.47594,0.87032,0,0.97132,0.91828,0.94078,0.73676,0.96254,0.90998,0.92958,0.52938,0.77047,1.27164,0.46816,0.84962,0,0.002278,0.002278,0.002278
119,502.14,0.81627,1.39691,0.48353,0.86579,0,0.97132,0.91828,0.94078,0.73676,0.96254,0.90998,0.92958,0.52938,0.77047,1.27164,0.46816,0.84962,0,0.002212,0.002212,0.002212
120,506.286,0.83096,1.38238,0.48811,0.88019,0,0.96733,0.91974,0.94099,0.73966,0.96091,0.90646,0.92811,0.52424,0.76077,1.28106,0.46543,0.84661,0,0.002146,0.002146,0.002146
121,510.834,0.77816,1.31353,0.47133,0.86934,0,0.96733,0.91974,0.94099,0.73966,0.96091,0.90646,0.92811,0.52424,0.76077,1.28106,0.46543,0.84661,0,0.00208,0.00208,0.00208
122,514.521,0.77829,1.28437,0.46531,0.85831,0,0.97229,0.91337,0.93929,0.73604,0.96999,0.91152,0.93802,0.5263,0.77463,1.27053,0.4662,0.84965,0,0.002014,0.002014,0.002014
123,518.039,0.80066,1.34087,0.47431,0.86663,0,0.97229,0.91337,0.93929,0.73604,0.96999,0.91152,0.93802,0.5263,0.77463,1.27053,0.4662,0.84965,0,0.001948,0.001948,0.001948
124,522.927,0.7983,1.28914,0.47276,0.86349,0,0.96456,0.92191,0.94012,0.73968,0.9641,0.90304,0.92721,0.5237,0.76099,1.26333,0.46422,0.84567,0,0.001882,0.001882,0.001882
125,526.679,0.72192,1.20086,0.45468,0.85663,0,0.96456,0.92191,0.94012,0.73968,0.9641,0.90304,0.92721,0.5237,0.76099,1.26333,0.46422,0.84567,0,0.001816,0.001816,0.001816
